time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-09-19T06:38:46.930Z,34.0381667,-118.0801667,16.82,4.54,mw,230,16,0.01256,0.24,ci,ci38695658,2020-09-22T01:40:12.075Z,"3km WSW of South El Monte, CA",earthquake,0.11,0.22,,6,reviewed,ci,ci
2020-09-18T21:43:58.936Z,0.9167,-26.8408,10,6.9,mww,,16,11.257,0.66,us,us7000bq10,2020-09-20T22:00:52.455Z,central Mid-Atlantic Ridge,earthquake,8.3,1.7,0.032,91,reviewed,us,us
2020-09-15T03:41:28.012Z,55.9268,158.4539,344,6.4,mww,,29,2.858,0.73,us,us7000bnd1,2020-09-17T04:11:41.155Z,"15 km W of Esso, Russia",earthquake,7.4,1.9,0.028,120,reviewed,us,us
2020-09-11T07:35:57.894Z,-21.3928,-69.8943,51,6.3,mww,,41,0.072,1.39,us,us7000blm2,2020-09-13T08:04:13.078Z,"83 km NNE of Tocopilla, Chile",earthquake,3,1.8,0.052,35,reviewed,us,us
2020-09-09T06:00:13.113Z,40.2621,-74.2456,5,3.1,mb_lg,,140,0.485,0.45,us,us7000bk7f,2020-09-19T17:42:09.466Z,"2 km SSE of East Freehold, New Jersey",earthquake,2.8,2,0.054,90,reviewed,us,us
2020-09-08T08:45:27.723Z,51.817,-0.6649,10,3.9,mb,,104,3.314,1.01,us,us7000bjlf,2020-09-14T14:34:29.723Z,"2 km SW of Pitstone, United Kingdom",earthquake,6,2,0.194,7,reviewed,us,us
2020-09-06T15:23:43.148Z,6.2693,125.8285,120,6.3,mww,,29,0.832,1.22,us,us7000biyd,2020-09-10T17:17:41.108Z,"17 km E of Talagutong, Philippines",earthquake,7.2,1.9,0.045,47,reviewed,us,us
2020-09-06T06:51:19.004Z,7.6929,-37.2174,10,6.7,mww,,39,22.623,0.74,us,us7000biu8,2020-09-07T14:33:21.287Z,central Mid-Atlantic Ridge,earthquake,10.4,1.8,0.031,97,reviewed,us,us
2020-09-06T01:16:58.930Z,-30.3355,-71.5642,30.71,6.3,mww,,86,0.342,1.04,us,us7000biqb,2020-09-09T19:21:43.178Z,"45 km NW of Ovalle, Chile",earthquake,4.6,2.4,0.042,54,reviewed,us,us
2020-09-01T21:09:17.626Z,-27.9154,-71.3716,14.52,6.5,mww,,49,0.39,0.86,us,us7000bg4v,2020-09-08T23:49:47.217Z,"94 km NW of Vallenar, Chile",earthquake,4.1,2.3,0.071,19,reviewed,us,us
2020-09-01T04:30:02.198Z,-28.0385,-71.2874,16.53,6.3,mww,,69,0.25,0.97,us,us7000bfjx,2020-09-16T23:29:18.414Z,"78 km NW of Vallenar, Chile",earthquake,4,3.1,0.058,29,reviewed,us,us
2020-09-01T04:09:28.731Z,-27.9728,-71.3031,23,6.8,mww,,69,0.307,0.85,us,us7000bfjr,2020-09-20T22:01:29.114Z,"85 km NW of Vallenar, Chile",earthquake,5.5,1.8,0.039,62,reviewed,us,us
2020-08-30T21:20:29.757Z,0.7821,-29.8656,10,6.5,mww,,31,15.394,0.66,us,us7000bf3k,2020-09-10T22:23:01.234Z,central Mid-Atlantic Ridge,earthquake,9.3,1.7,0.046,46,reviewed,us,us
2020-08-24T21:51:09.145Z,9.5749,-84.6308,19.43,6,mww,,84,0.638,1.3,us,us7000bcbv,2020-08-30T22:48:49.227Z,"4 km S of Jaca, Costa Rica",earthquake,5.5,2.7,0.041,57,reviewed,us,us
